"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",2,139840,69920,90.01029866117405
"__omp_offloading_2d_18a8108__Z2mmlllid_l17.kd",1,15520,15520,9.989701338825952
