Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
38,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,38,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
39,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,39,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
40,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,40,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
41,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,41,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
42,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,42,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
43,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,43,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
44,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,44,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
45,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,45,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
46,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,46,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
47,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,47,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
48,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,48,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
49,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,49,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
50,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,50,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
51,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,51,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
52,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,52,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
53,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,53,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
54,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,54,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
55,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,55,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
56,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,56,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
57,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,57,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
58,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,58,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
59,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,59,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
60,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,60,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
61,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,61,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
62,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,62,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
63,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,63,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
64,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,64,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
65,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,65,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
66,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,66,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
67,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,67,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
68,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,68,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
69,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,69,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
70,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,70,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
71,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,71,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
72,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,72,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
73,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,73,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
74,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,74,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
75,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,75,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
76,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,76,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
